
--- [START 2018-11-12_01-05-46] ----------------------------------------------------------------

	SEED         = 35202
	PROJECT_PATH = C:\Users\Admin\Desktop\doodle\code
	__file__     = baseline_25k
	out_dir      = ../../output

	<additional comments>
	  ... xxx baseline  ... 

** dataset setting **
batch_size = 320
train_dataset : 
	split        = train_0
	mode         = train
	complexity   = simplified
	len(self.id) = 8500000


valid_dataset : 
	split        = valid_0
	mode         = train
	complexity   = simplified
	len(self.id) = 27200



** net setting **
	initial_checkpoint = ../../output/backup/color_model_885.pth
<class 'model_seresnext50.Net'>
criterion=<function softmax_cross_entropy_criterion at 0x000001F743A0B0D0>

schduler
  (Exp) Decay Learning Rates
base_lr=0.010, decay=0.100, step=53125.000

** start training here! **
                    |------------ VALID -------------|-------- TRAIN/BATCH ----------|         
rate   iter  epoch  | loss   acc-1  acc-3   lb       | loss   acc-1  acc-3   lb      |  time   
----------------------------------------------------------------------------------------------------
0.0010  44.3    1.7 | 0.638  0.836  0.943  (0.886)   | 0.585  0.850  0.949  (0.896)  | 16 hr 43 min
0.0010  44.4    1.7 | 0.637  0.835  0.943  (0.885)   | 0.570  0.849  0.950  (0.896)  | 16 hr 45 min
0.0010  44.5    1.7 | 0.637  0.836  0.942  (0.886)   | 0.591  0.847  0.948  (0.894)  | 16 hr 47 min
0.0010  44.6    1.7 | 0.636  0.836  0.943  (0.886)   | 0.576  0.851  0.950  (0.897)  | 16 hr 49 min
0.0010  44.7    1.7 | 0.637  0.835  0.943  (0.885)   | 0.568  0.854  0.948  (0.897)  | 16 hr 52 min
0.0010  44.8    1.7 | 0.637  0.835  0.943  (0.885)   | 0.580  0.849  0.947  (0.894)  | 16 hr 54 min
0.0010  44.9    1.7 | 0.637  0.837  0.943  (0.886)   | 0.589  0.847  0.942  (0.891)  | 16 hr 56 min
0.0010  45.0    1.7 | 0.638  0.836  0.943  (0.886)   | 0.570  0.857  0.948  (0.900)  | 16 hr 59 min
0.0010  45.1    1.7 | 0.637  0.837  0.943  (0.886)   | 0.560  0.853  0.950  (0.898)  | 17 hr 01 min
0.0010  45.2    1.7 | 0.638  0.836  0.943  (0.886)   | 0.545  0.861  0.949  (0.902)  | 17 hr 03 min
0.0010  45.3    1.7 | 0.637  0.837  0.943  (0.886)   | 0.547  0.853  0.954  (0.900)  | 17 hr 05 min
0.0010  45.4    1.7 | 0.639  0.837  0.943  (0.886)   | 0.575  0.852  0.947  (0.896)  | 17 hr 08 min
0.0010  45.5    1.7 | 0.638  0.836  0.942  (0.886)   | 0.591  0.848  0.945  (0.893)  | 17 hr 10 min
0.0010  45.6    1.7 | 0.637  0.837  0.943  (0.886)   | 0.560  0.860  0.949  (0.901)  | 17 hr 12 min
0.0010  45.7    1.7 | 0.637  0.837  0.942  (0.886)   | 0.570  0.857  0.949  (0.900)  | 17 hr 14 min
0.0010  45.8    1.7 | 0.638  0.837  0.942  (0.886)   | 0.572  0.855  0.948  (0.898)  | 17 hr 17 min
0.0010  45.9    1.7 | 0.638  0.837  0.943  (0.886)   | 0.558  0.859  0.950  (0.901)  | 17 hr 19 min
0.0010  46.0    1.7 | 0.638  0.837  0.943  (0.886)*  | 0.541  0.859  0.954  (0.903)  | 17 hr 21 min
0.0010  46.1    1.7 | 0.637  0.836  0.942  (0.885)   | 0.546  0.860  0.953  (0.903)  | 17 hr 23 min
0.0010  46.2    1.7 | 0.638  0.836  0.942  (0.885)   | 0.540  0.858  0.952  (0.902)  | 17 hr 26 min
0.0010  46.3    1.7 | 0.639  0.836  0.943  (0.885)   | 0.534  0.861  0.951  (0.904)  | 17 hr 28 min
0.0010  46.4    1.7 | 0.639  0.836  0.942  (0.885)   | 0.547  0.860  0.953  (0.903)  | 17 hr 30 min
0.0010  46.5    1.8 | 0.639  0.837  0.943  (0.886)   | 0.562  0.855  0.950  (0.900)  | 17 hr 33 min
0.0010  46.6    1.8 | 0.639  0.836  0.943  (0.886)   | 0.584  0.855  0.945  (0.897)  | 17 hr 35 min
0.0010  46.7    1.8 | 0.639  0.836  0.942  (0.886)   | 0.565  0.857  0.952  (0.901)  | 17 hr 37 min
0.0010  46.8    1.8 | 0.637  0.836  0.942  (0.886)   | 0.558  0.853  0.950  (0.898)  | 17 hr 39 min
0.0010  46.9    1.8 | 0.637  0.837  0.943  (0.886)   | 0.532  0.864  0.954  (0.906)  | 17 hr 42 min
0.0010  47.0    1.8 | 0.638  0.836  0.942  (0.885)   | 0.564  0.857  0.949  (0.899)  | 17 hr 44 min
0.0010  47.1    1.8 | 0.638  0.836  0.942  (0.885)   | 0.563  0.857  0.947  (0.899)  | 17 hr 46 min
0.0010  47.2    1.8 | 0.638  0.837  0.943  (0.886)   | 0.553  0.852  0.951  (0.898)  | 17 hr 48 min
0.0010  47.3    1.8 | 0.638  0.836  0.942  (0.885)   | 0.542  0.865  0.950  (0.905)  | 17 hr 51 min
0.0010  47.4    1.8 | 0.637  0.836  0.942  (0.886)   | 0.589  0.855  0.944  (0.896)  | 17 hr 53 min
0.0010  47.5    1.8 | 0.639  0.836  0.942  (0.885)   | 0.577  0.854  0.947  (0.897)  | 17 hr 55 min
0.0010  47.6    1.8 | 0.638  0.837  0.943  (0.886)   | 0.536  0.864  0.953  (0.906)  | 17 hr 57 min
0.0010  47.7    1.8 | 0.638  0.837  0.943  (0.886)   | 0.566  0.855  0.947  (0.897)  | 18 hr 00 min
0.0010  47.8    1.8 | 0.638  0.837  0.943  (0.886)   | 0.563  0.851  0.948  (0.896)  | 18 hr 02 min
0.0010  47.9    1.8 | 0.639  0.836  0.942  (0.885)   | 0.548  0.864  0.952  (0.905)  | 18 hr 04 min
0.0010  48.0    1.8 | 0.638  0.836  0.942  (0.885)*  | 0.536  0.862  0.953  (0.904)  | 18 hr 06 min
0.0010  48.1    1.8 | 0.638  0.835  0.942  (0.885)   | 0.540  0.861  0.953  (0.904)  | 18 hr 09 min
0.0010  48.2    1.8 | 0.639  0.835  0.942  (0.885)   | 0.542  0.862  0.949  (0.903)  | 18 hr 11 min
0.0010  48.3    1.8 | 0.638  0.836  0.942  (0.885)   | 0.549  0.859  0.953  (0.903)  | 18 hr 13 min
0.0010  48.4    1.8 | 0.638  0.836  0.943  (0.886)   | 0.571  0.851  0.947  (0.895)  | 18 hr 16 min
0.0010  48.5    1.8 | 0.639  0.835  0.943  (0.885)   | 0.535  0.863  0.955  (0.905)  | 18 hr 18 min
0.0010  48.6    1.8 | 0.639  0.836  0.943  (0.886)   | 0.562  0.850  0.950  (0.896)  | 18 hr 20 min
0.0010  48.7    1.8 | 0.638  0.836  0.943  (0.885)   | 0.527  0.864  0.953  (0.905)  | 18 hr 22 min
0.0010  48.8    1.8 | 0.638  0.837  0.943  (0.886)   | 0.539  0.857  0.952  (0.902)  | 18 hr 25 min
0.0010  48.9    1.8 | 0.640  0.836  0.943  (0.886)   | 0.537  0.860  0.951  (0.902)  | 18 hr 27 min
0.0010  49.0    1.8 | 0.639  0.836  0.942  (0.885)   | 0.539  0.862  0.951  (0.903)  | 18 hr 29 min
0.0010  49.1    1.8 | 0.638  0.836  0.943  (0.886)   | 0.563  0.857  0.949  (0.900)  | 18 hr 31 min
0.0010  49.2    1.9 | 0.637  0.836  0.943  (0.885)   | 0.550  0.860  0.950  (0.902)  | 18 hr 34 min
0.0010  49.3    1.9 | 0.638  0.835  0.943  (0.885)   | 0.512  0.870  0.955  (0.909)  | 18 hr 36 min
0.0010  49.4    1.9 | 0.638  0.836  0.943  (0.886)   | 0.546  0.860  0.948  (0.902)  | 18 hr 38 min
0.0010  49.5    1.9 | 0.638  0.837  0.943  (0.886)   | 0.577  0.850  0.949  (0.896)  | 18 hr 40 min
0.0010  49.6    1.9 | 0.637  0.836  0.943  (0.886)   | 0.567  0.852  0.949  (0.897)  | 18 hr 43 min
0.0010  49.7    1.9 | 0.639  0.836  0.943  (0.885)   | 0.561  0.854  0.947  (0.898)  | 18 hr 45 min
0.0010  49.8    1.9 | 0.638  0.836  0.943  (0.886)   | 0.564  0.859  0.949  (0.900)  | 18 hr 47 min
0.0010  49.9    1.9 | 0.639  0.837  0.943  (0.886)   | 0.548  0.856  0.949  (0.899)  | 18 hr 49 min
0.0010  50.0    1.9 | 0.639  0.836  0.943  (0.886)*  | 0.567  0.856  0.947  (0.899)  | 18 hr 52 min
0.0010  50.1    1.9 | 0.638  0.836  0.943  (0.886)   | 0.547  0.860  0.954  (0.904)  | 18 hr 54 min
0.0010  50.2    1.9 | 0.638  0.836  0.943  (0.885)   | 0.562  0.857  0.950  (0.900)  | 18 hr 56 min
0.0010  50.3    1.9 | 0.639  0.835  0.943  (0.885)   | 0.514  0.868  0.954  (0.908)  | 18 hr 59 min
0.0010  50.4    1.9 | 0.640  0.836  0.942  (0.885)   | 0.548  0.861  0.950  (0.902)  | 19 hr 01 min
0.0010  50.5    1.9 | 0.639  0.836  0.943  (0.885)   | 0.526  0.863  0.953  (0.905)  | 19 hr 03 min
0.0010  50.6    1.9 | 0.640  0.835  0.943  (0.885)   | 0.523  0.866  0.952  (0.906)  | 19 hr 05 min
0.0010  50.7    1.9 | 0.640  0.836  0.942  (0.885)   | 0.520  0.863  0.957  (0.907)  | 19 hr 08 min
0.0010  50.8    1.9 | 0.639  0.837  0.942  (0.886)   | 0.539  0.860  0.952  (0.903)  | 19 hr 10 min
0.0010  50.9    1.9 | 0.640  0.836  0.943  (0.886)   | 0.549  0.859  0.951  (0.902)  | 19 hr 12 min
0.0010  51.0    1.9 | 0.640  0.836  0.942  (0.886)   | 0.528  0.859  0.953  (0.903)  | 19 hr 14 min
0.0010  51.1    1.9 | 0.640  0.836  0.942  (0.885)   | 0.531  0.866  0.952  (0.906)  | 19 hr 17 min
0.0010  51.2    1.9 | 0.639  0.837  0.942  (0.886)   | 0.534  0.861  0.954  (0.905)  | 19 hr 19 min
0.0010  51.3    1.9 | 0.640  0.836  0.942  (0.885)   | 0.527  0.861  0.951  (0.904)  | 19 hr 21 min
0.0010  51.4    1.9 | 0.640  0.837  0.942  (0.886)   | 0.515  0.867  0.955  (0.907)  | 19 hr 23 min
0.0010  51.5    1.9 | 0.641  0.837  0.942  (0.886)   | 0.532  0.855  0.954  (0.901)  | 19 hr 26 min
0.0010  51.6    1.9 | 0.641  0.837  0.942  (0.886)   | 0.521  0.865  0.955  (0.906)  | 19 hr 28 min
0.0010  51.7    1.9 | 0.640  0.836  0.943  (0.886)   | 0.527  0.861  0.953  (0.904)  | 19 hr 30 min
0.0010  51.8    2.0 | 0.641  0.836  0.942  (0.885)   | 0.523  0.855  0.953  (0.900)  | 19 hr 33 min
0.0010  51.9    2.0 | 0.642  0.835  0.942  (0.885)   | 0.540  0.865  0.949  (0.904)  | 19 hr 35 min
0.0010  52.0    2.0 | 0.641  0.837  0.942  (0.886)*  | 0.551  0.859  0.947  (0.900)  | 19 hr 37 min
0.0010  52.1    2.0 | 0.642  0.836  0.942  (0.885)   | 0.489  0.870  0.959  (0.912)  | 19 hr 39 min
0.0010  52.2    2.0 | 0.641  0.835  0.942  (0.885)   | 0.531  0.861  0.952  (0.903)  | 19 hr 42 min
0.0010  52.3    2.0 | 0.641  0.836  0.943  (0.885)   | 0.511  0.864  0.954  (0.906)  | 19 hr 44 min
0.0010  52.4    2.0 | 0.641  0.836  0.943  (0.886)   | 0.515  0.868  0.954  (0.908)  | 19 hr 46 min
0.0010  52.5    2.0 | 0.641  0.836  0.943  (0.885)   | 0.523  0.866  0.951  (0.906)  | 19 hr 48 min
0.0010  52.6    2.0 | 0.642  0.836  0.942  (0.885)   | 0.504  0.875  0.952  (0.912)  | 19 hr 51 min
0.0010  52.7    2.0 | 0.643  0.836  0.942  (0.885)   | 0.526  0.866  0.953  (0.907)  | 19 hr 53 min
0.0010  52.8    2.0 | 0.642  0.836  0.942  (0.885)   | 0.526  0.862  0.952  (0.904)  | 19 hr 55 min
0.0010  52.9    2.0 | 0.643  0.837  0.942  (0.886)   | 0.510  0.867  0.956  (0.908)  | 19 hr 57 min
0.0010  53.0    2.0 | 0.644  0.836  0.942  (0.885)   | 0.516  0.867  0.955  (0.908)  | 20 hr 00 min
0.0010  53.1    2.0 | 0.644  0.837  0.942  (0.886)   | 0.537  0.859  0.950  (0.902)  | 20 hr 02 min
0.0001  53.2    2.0 | 0.644  0.836  0.942  (0.885)   | 0.572  0.849  0.949  (0.895)  | 20 hr 04 min
0.0001  53.3    2.0 | 0.643  0.836  0.942  (0.885)   | 0.574  0.847  0.947  (0.893)  | 20 hr 06 min
0.0001  53.4    2.0 | 0.643  0.836  0.942  (0.885)   | 0.566  0.856  0.951  (0.900)  | 20 hr 09 min
0.0001  53.5    2.0 | 0.644  0.837  0.942  (0.886)   | 0.576  0.852  0.950  (0.897)  | 20 hr 11 min
0.0001  53.6    2.0 | 0.643  0.836  0.942  (0.885)   | 0.575  0.854  0.943  (0.896)  | 20 hr 13 min
0.0001  53.7    2.0 | 0.643  0.836  0.942  (0.885)   | 0.585  0.853  0.950  (0.897)  | 20 hr 16 min
0.0001  53.8    2.0 | 0.642  0.837  0.942  (0.886)   | 0.589  0.848  0.948  (0.895)  | 20 hr 18 min
0.0001  53.9    2.0 | 0.642  0.837  0.942  (0.886)   | 0.584  0.849  0.950  (0.895)  | 20 hr 20 min
0.0001  54.0    2.0 | 0.641  0.837  0.942  (0.886)*  | 0.546  0.855  0.952  (0.900)  | 20 hr 22 min
0.0001  54.1    2.0 | 0.641  0.836  0.942  (0.885)   | 0.567  0.857  0.950  (0.900)  | 20 hr 25 min
0.0001  54.2    2.0 | 0.641  0.837  0.942  (0.886)   | 0.585  0.848  0.946  (0.894)  | 20 hr 27 min
0.0001  54.3    2.0 | 0.641  0.836  0.942  (0.885)   | 0.580  0.853  0.947  (0.896)  | 20 hr 29 min
0.0001  54.4    2.0 | 0.641  0.837  0.942  (0.886)   | 0.544  0.857  0.954  (0.902)  | 20 hr 31 min
0.0001  54.5    2.1 | 0.641  0.837  0.942  (0.886)   | 0.588  0.850  0.945  (0.895)  | 20 hr 34 min
0.0001  54.6    2.1 | 0.639  0.837  0.942  (0.886)   | 0.573  0.852  0.949  (0.898)  | 20 hr 36 min
0.0001  54.7    2.1 | 0.640  0.836  0.942  (0.885)   | 0.589  0.848  0.946  (0.894)  | 20 hr 38 min
0.0001  54.8    2.1 | 0.640  0.836  0.942  (0.885)   | 0.560  0.853  0.951  (0.899)  | 20 hr 40 min
0.0001  54.9    2.1 | 0.640  0.836  0.942  (0.886)   | 0.588  0.847  0.945  (0.893)  | 20 hr 43 min
0.0001  55.0    2.1 | 0.640  0.836  0.942  (0.886)   | 0.564  0.852  0.949  (0.897)  | 20 hr 45 min
0.0001  55.1    2.1 | 0.639  0.836  0.942  (0.885)   | 0.605  0.842  0.946  (0.890)  | 20 hr 47 min
0.0001  55.2    2.1 | 0.640  0.837  0.942  (0.886)   | 0.595  0.849  0.946  (0.894)  | 20 hr 49 min
0.0001  55.3    2.1 | 0.639  0.837  0.942  (0.886)   | 0.590  0.849  0.946  (0.894)  | 20 hr 52 min
0.0001  55.4    2.1 | 0.639  0.837  0.942  (0.886)   | 0.553  0.856  0.951  (0.900)  | 20 hr 54 min
0.0001  55.5    2.1 | 0.639  0.837  0.942  (0.886)   | 0.557  0.856  0.951  (0.900)  | 20 hr 56 min
0.0001  55.6    2.1 | 0.639  0.837  0.942  (0.886)   | 0.585  0.848  0.946  (0.894)  | 20 hr 59 min
0.0001  55.7    2.1 | 0.639  0.837  0.942  (0.886)   | 0.574  0.853  0.949  (0.898)  | 21 hr 01 min
0.0001  55.8    2.1 | 0.639  0.837  0.942  (0.886)   | 0.597  0.844  0.949  (0.893)  | 21 hr 03 min
0.0001  55.9    2.1 | 0.638  0.837  0.942  (0.886)   | 0.556  0.853  0.951  (0.898)  | 21 hr 05 min
0.0001  56.0    2.1 | 0.638  0.836  0.942  (0.886)*  | 0.593  0.846  0.946  (0.892)  | 21 hr 08 min
0.0001  56.1    2.1 | 0.639  0.837  0.943  (0.886)   | 0.565  0.852  0.949  (0.897)  | 21 hr 10 min
0.0001  56.2    2.1 | 0.638  0.836  0.942  (0.885)   | 0.602  0.844  0.946  (0.891)  | 21 hr 12 min
0.0001  56.3    2.1 | 0.639  0.837  0.942  (0.886)   | 0.597  0.850  0.945  (0.894)  | 21 hr 14 min
0.0001  56.4    2.1 | 0.638  0.837  0.942  (0.886)   | 0.604  0.846  0.945  (0.893)  | 21 hr 17 min
0.0001  56.5    2.1 | 0.637  0.837  0.942  (0.886)   | 0.595  0.846  0.943  (0.891)  | 21 hr 19 min
0.0001  56.6    2.1 | 0.638  0.837  0.942  (0.886)   | 0.562  0.854  0.949  (0.898)  | 21 hr 21 min
0.0001  56.7    2.1 | 0.637  0.837  0.943  (0.886)   | 0.567  0.852  0.949  (0.897)  | 21 hr 23 min
0.0001  56.8    2.1 | 0.638  0.837  0.942  (0.886)   | 0.584  0.850  0.948  (0.895)  | 21 hr 26 min
0.0001  56.9    2.1 | 0.637  0.838  0.942  (0.886)   | 0.582  0.854  0.945  (0.897)  | 21 hr 28 min
0.0001  57.0    2.1 | 0.636  0.837  0.943  (0.886)   | 0.565  0.849  0.952  (0.897)  | 21 hr 30 min
0.0001  57.1    2.1 | 0.636  0.837  0.942  (0.886)   | 0.589  0.849  0.946  (0.894)  | 21 hr 32 min
0.0001  57.2    2.2 | 0.636  0.837  0.943  (0.886)   | 0.563  0.853  0.950  (0.898)  | 21 hr 35 min
0.0001  57.3    2.2 | 0.637  0.837  0.942  (0.886)   | 0.574  0.852  0.951  (0.898)  | 21 hr 37 min
0.0001  57.4    2.2 | 0.637  0.837  0.942  (0.886)   | 0.574  0.845  0.950  (0.894)  | 21 hr 39 min
0.0001  57.5    2.2 | 0.637  0.836  0.942  (0.886)   | 0.595  0.851  0.947  (0.895)  | 21 hr 42 min
0.0001  57.6    2.2 | 0.637  0.837  0.942  (0.886)   | 0.598  0.847  0.942  (0.891)  | 21 hr 44 min
0.0001  57.7    2.2 | 0.637  0.838  0.943  (0.887)   | 0.590  0.851  0.946  (0.895)  | 21 hr 46 min
0.0001  57.8    2.2 | 0.636  0.837  0.943  (0.886)   | 0.566  0.858  0.950  (0.900)  | 21 hr 48 min
0.0001  57.9    2.2 | 0.636  0.838  0.942  (0.886)   | 0.622  0.840  0.945  (0.888)  | 21 hr 51 min
0.0001  58.0    2.2 | 0.636  0.837  0.943  (0.886)*  | 0.587  0.848  0.948  (0.895)  | 21 hr 53 min
0.0001  58.1    2.2 | 0.636  0.837  0.942  (0.886)   | 0.587  0.854  0.945  (0.897)  | 21 hr 55 min
0.0001  58.2    2.2 | 0.636  0.837  0.943  (0.886)   | 0.587  0.852  0.944  (0.895)  | 21 hr 57 min
0.0001  58.3    2.2 | 0.636  0.838  0.942  (0.886)   | 0.635  0.839  0.944  (0.888)  | 22 hr 00 min
0.0001  58.4    2.2 | 0.637  0.838  0.942  (0.887)   | 0.570  0.851  0.951  (0.898)  | 22 hr 02 min
0.0001  58.5    2.2 | 0.637  0.838  0.943  (0.887)   | 0.523  0.864  0.953  (0.905)  | 22 hr 04 min
0.0001  58.6    2.2 | 0.637  0.838  0.943  (0.886)   | 0.612  0.844  0.946  (0.892)  | 22 hr 06 min
0.0001  58.7    2.2 | 0.636  0.838  0.943  (0.887)   | 0.578  0.848  0.946  (0.893)  | 22 hr 09 min
0.0001  58.8    2.2 | 0.636  0.838  0.943  (0.887)   | 0.591  0.846  0.946  (0.893)  | 22 hr 11 min
0.0001  58.9    2.2 | 0.636  0.838  0.943  (0.887)   | 0.582  0.853  0.948  (0.897)  | 22 hr 13 min
0.0001  59.0    2.2 | 0.636  0.838  0.943  (0.886)   | 0.569  0.855  0.951  (0.900)  | 22 hr 16 min
0.0001  59.1    2.2 | 0.636  0.838  0.943  (0.886)   | 0.616  0.838  0.945  (0.888)  | 22 hr 18 min
0.0001  59.2    2.2 | 0.636  0.838  0.943  (0.886)   | 0.592  0.844  0.945  (0.891)  | 22 hr 20 min
0.0001  59.3    2.2 | 0.635  0.838  0.943  (0.886)   | 0.597  0.848  0.945  (0.893)  | 22 hr 22 min
0.0001  59.4    2.2 | 0.636  0.838  0.943  (0.886)   | 0.601  0.846  0.948  (0.893)  | 22 hr 25 min
0.0001  59.5    2.2 | 0.636  0.838  0.943  (0.887)   | 0.608  0.845  0.941  (0.890)  | 22 hr 27 min
0.0001  59.6    2.2 | 0.635  0.839  0.943  (0.887)   | 0.577  0.852  0.948  (0.896)  | 22 hr 29 min
0.0001  59.7    2.2 | 0.636  0.838  0.943  (0.887)   | 0.610  0.849  0.945  (0.894)  | 22 hr 31 min
0.0001  59.8    2.3 | 0.635  0.838  0.943  (0.887)   | 0.606  0.842  0.944  (0.889)  | 22 hr 34 min
0.0001  59.9    2.3 | 0.635  0.838  0.943  (0.887)   | 0.579  0.853  0.946  (0.896)  | 22 hr 36 min
0.0001  60.0    2.3 | 0.635  0.838  0.942  (0.887)*  | 0.588  0.852  0.948  (0.896)  | 22 hr 38 min
0.0001  60.1    2.3 | 0.635  0.837  0.942  (0.886)   | 0.592  0.854  0.946  (0.896)  | 22 hr 40 min
0.0001  60.2    2.3 | 0.635  0.838  0.943  (0.886)   | 0.585  0.848  0.949  (0.894)  | 22 hr 43 min
0.0001  60.3    2.3 | 0.635  0.838  0.943  (0.887)   | 0.619  0.843  0.945  (0.891)  | 22 hr 45 min
0.0001  60.4    2.3 | 0.635  0.838  0.943  (0.886)   | 0.577  0.849  0.949  (0.896)  | 22 hr 47 min
0.0001  60.5    2.3 | 0.635  0.838  0.943  (0.887)   | 0.617  0.842  0.942  (0.889)  | 22 hr 49 min
0.0001  60.6    2.3 | 0.635  0.838  0.942  (0.886)   | 0.588  0.850  0.946  (0.895)  | 22 hr 52 min
0.0001  60.7    2.3 | 0.634  0.837  0.942  (0.886)   | 0.579  0.851  0.950  (0.897)  | 22 hr 54 min
0.0001  60.8    2.3 | 0.634  0.837  0.943  (0.886)   | 0.587  0.850  0.948  (0.896)  | 22 hr 56 min
0.0001  60.9    2.3 | 0.635  0.838  0.943  (0.886)   | 0.571  0.855  0.949  (0.899)  | 22 hr 59 min
0.0001  61.0    2.3 | 0.635  0.838  0.943  (0.886)   | 0.597  0.847  0.946  (0.892)  | 23 hr 01 min
0.0001  61.1    2.3 | 0.634  0.838  0.942  (0.886)   | 0.581  0.851  0.951  (0.898)  | 23 hr 03 min
0.0001  61.2    2.3 | 0.635  0.837  0.943  (0.886)   | 0.600  0.845  0.945  (0.891)  | 23 hr 05 min
0.0001  61.3    2.3 | 0.634  0.838  0.942  (0.886)   | 0.594  0.849  0.948  (0.895)  | 23 hr 08 min
0.0001  61.4    2.3 | 0.634  0.838  0.943  (0.886)   | 0.604  0.844  0.945  (0.891)  | 23 hr 10 min
0.0001  61.5    2.3 | 0.635  0.838  0.942  (0.886)   | 0.583  0.847  0.945  (0.892)  | 23 hr 12 min
0.0001  61.6    2.3 | 0.634  0.837  0.942  (0.886)   | 0.587  0.851  0.948  (0.896)  | 23 hr 14 min
0.0001  61.7    2.3 | 0.634  0.838  0.943  (0.887)   | 0.590  0.850  0.945  (0.894)  | 23 hr 17 min
0.0001  61.8    2.3 | 0.635  0.838  0.943  (0.887)   | 0.566  0.856  0.949  (0.900)  | 23 hr 19 min
0.0001  61.9    2.3 | 0.635  0.838  0.943  (0.887)   | 0.606  0.845  0.944  (0.891)  | 23 hr 21 min
0.0001  62.0    2.3 | 0.634  0.837  0.943  (0.886)*  | 0.584  0.852  0.947  (0.897)  | 23 hr 23 min
0.0001  62.1    2.3 | 0.634  0.838  0.943  (0.886)   | 0.584  0.848  0.948  (0.895)  | 23 hr 26 min
0.0001  62.2    2.3 | 0.635  0.838  0.943  (0.886)   | 0.601  0.849  0.947  (0.895)  | 23 hr 28 min
0.0001  62.3    2.3 | 0.634  0.837  0.942  (0.886)   | 0.611  0.840  0.947  (0.890)  | 23 hr 30 min
0.0001  62.4    2.3 | 0.634  0.837  0.942  (0.886)   | 0.591  0.847  0.946  (0.893)  | 23 hr 32 min
0.0001  62.5    2.4 | 0.634  0.837  0.943  (0.886)   | 0.577  0.857  0.947  (0.899)  | 23 hr 35 min
0.0001  62.6    2.4 | 0.635  0.837  0.942  (0.886)   | 0.595  0.850  0.948  (0.896)  | 23 hr 37 min
0.0001  62.7    2.4 | 0.635  0.837  0.943  (0.886)   | 0.574  0.853  0.948  (0.897)  | 23 hr 39 min
0.0001  62.8    2.4 | 0.635  0.837  0.942  (0.886)   | 0.595  0.848  0.946  (0.894)  | 23 hr 42 min
0.0001  62.9    2.4 | 0.634  0.837  0.942  (0.886)   | 0.593  0.848  0.946  (0.894)  | 23 hr 44 min
0.0001  63.0    2.4 | 0.634  0.838  0.942  (0.886)   | 0.572  0.854  0.950  (0.898)  | 23 hr 46 min
0.0001  63.1    2.4 | 0.634  0.838  0.942  (0.886)   | 0.587  0.848  0.949  (0.895)  | 23 hr 48 min
0.0001  63.2    2.4 | 0.634  0.838  0.942  (0.887)   | 0.590  0.848  0.948  (0.894)  | 23 hr 51 min
0.0001  63.3    2.4 | 0.634  0.838  0.943  (0.886)   | 0.619  0.836  0.944  (0.886)  | 23 hr 53 min
0.0001  63.4    2.4 | 0.634  0.838  0.943  (0.887)   | 0.577  0.853  0.949  (0.898)  | 23 hr 55 min
0.0001  63.5    2.4 | 0.635  0.838  0.943  (0.886)   | 0.555  0.860  0.953  (0.904)  | 23 hr 57 min
0.0001  63.6    2.4 | 0.634  0.838  0.942  (0.887)   | 0.611  0.845  0.943  (0.891)  | 24 hr 00 min
0.0001  63.7    2.4 | 0.634  0.838  0.942  (0.886)   | 0.541  0.860  0.952  (0.903)  | 24 hr 02 min
0.0001  63.8    2.4 | 0.634  0.838  0.942  (0.887)   | 0.573  0.852  0.949  (0.898)  | 24 hr 04 min
0.0001  63.9    2.4 | 0.635  0.838  0.942  (0.887)   | 0.585  0.846  0.948  (0.893)  | 24 hr 06 min
0.0001  64.0    2.4 | 0.634  0.838  0.943  (0.887)*  | 0.595  0.843  0.948  (0.892)  | 24 hr 09 min
0.0001  64.1    2.4 | 0.633  0.838  0.943  (0.887)   | 0.583  0.851  0.947  (0.895)  | 24 hr 11 min
0.0001  64.2    2.4 | 0.634  0.838  0.942  (0.886)   | 0.606  0.844  0.945  (0.891)  | 24 hr 13 min
0.0001  64.3    2.4 | 0.633  0.838  0.942  (0.886)   | 0.553  0.856  0.952  (0.900)  | 24 hr 16 min
0.0001  64.4    2.4 | 0.633  0.838  0.943  (0.887)   | 0.577  0.855  0.950  (0.899)  | 24 hr 18 min
0.0001  64.5    2.4 | 0.634  0.837  0.943  (0.886)   | 0.614  0.842  0.943  (0.890)  | 24 hr 20 min
0.0001  64.6    2.4 | 0.633  0.838  0.943  (0.886)   | 0.598  0.842  0.945  (0.890)  | 24 hr 22 min
0.0001  64.7    2.4 | 0.634  0.838  0.943  (0.887)   | 0.574  0.854  0.946  (0.897)  | 24 hr 25 min
0.0001  64.8    2.4 | 0.634  0.838  0.943  (0.887)   | 0.606  0.845  0.945  (0.892)  | 24 hr 27 min
0.0001  64.9    2.4 | 0.633  0.838  0.942  (0.887)   | 0.610  0.840  0.944  (0.888)  | 24 hr 29 min
0.0001  65.0    2.4 | 0.634  0.838  0.943  (0.887)   | 0.611  0.845  0.944  (0.891)  | 24 hr 31 min
0.0001  65.1    2.5 | 0.634  0.838  0.942  (0.886)   | 0.585  0.853  0.948  (0.897)  | 24 hr 34 min
0.0001  65.2    2.5 | 0.634  0.838  0.943  (0.887)   | 0.598  0.847  0.946  (0.893)  | 24 hr 36 min
0.0001  65.3    2.5 | 0.634  0.837  0.943  (0.886)   | 0.623  0.842  0.942  (0.889)  | 24 hr 38 min
